"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","104","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","104","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","102","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","115","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","110","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","119","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","129","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","108","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","118","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumoconioses and chemical effects [J60-J66, J68]","Number of deaths","Number","223","units","0","v41341102","1.1.1.31.2","102","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","14","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","14","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","14","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","14","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","17","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","17","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","17","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","16","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","15","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","15","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","17","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","17","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","16","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","15","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","15","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Rank of leading causes of death","Number","223","units","0","v41341103","1.1.1.32.1","15","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1725","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1954","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","2008","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","2014","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1204","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1267","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1270","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1415","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1527","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1616","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1573","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1682","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","1907","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","2153","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","2257","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pneumonitis due to solids and liquids [J69]","Number of deaths","Number","223","units","0","v41341104","1.1.1.32.2","2318","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","24","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","24","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","24","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","25","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","25","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","25","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","25","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","24","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","22","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Rank of leading causes of death","Number","223","units","0","v41341105","1.1.1.33.1","23","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","421","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","405","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","396","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","415","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","471","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","409","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","403","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","414","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","460","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","443","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","490","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","560","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","578","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","585","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","580","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Peptic ulcer [K25-K28]","Number of deaths","Number","223","units","0","v41341106","1.1.1.33.2","585","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","34","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","35","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","35","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","35","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Rank of leading causes of death","Number","223","units","0","v41341107","1.1.1.34.1","36","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","63","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","49","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","39","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","55","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","51","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","52","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","41","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","43","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","56","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","40","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","47","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","48","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","57","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","65","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","69","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diseases of appendix [K35-K38]","Number of deaths","Number","223","units","0","v41341108","1.1.1.34.2","58","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","27","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","27","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","25","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","25","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","25","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","26","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","25","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","24","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","24","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Rank of leading causes of death","Number","223","units","0","v41341109","1.1.1.35.1","25","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","314","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","317","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","345","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","339","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","359","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","364","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","376","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","383","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","385","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","423","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","446","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","433","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","469","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","514","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","532","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hernia [K40-K46]","Number of deaths","Number","223","units","0","v41341110","1.1.1.35.2","533","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
